name,number,image,date,Batch,Type,Rank,Total Score,Bonus Score,Background,Background Score,Base,Base Score,Outfit,Outfit Score,Necklace,Necklace Score,Eye,Eye Score,Beard,Beard Score,Hair,Hair Score,Hat,Hat Score,Hand_Accessories,Hand_Accessories Score,Shoulder,Shoulder Score,Mouth,Mouth Score,Unlock_Date
Pixel Pirates #29,29,https://nft.hedgey.finance/fantom/0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351/29.png,1650738032484,1,Common,541.0,73.53880677295041,0,Plue,10.534246575342467,Base_Pink,5.825757575757576,Regular_Pirate_Suit_Red_And_Luminous_,6.745614035087719,None,1.5535353535353538,Eye_Patch,1.9922279792746114,Long_Beard_Ginger,9.6125,Sparrow_Hair_White,7.53921568627451,None,5.026143790849673,Hook_Hand,6.68695652173913,Corgi_Dog_Tri_Colour_No_Tail,16.361702127659573,Regular_Smile,1.6609071274298057,1653350400
Pixel Pirates #30,30,https://nft.hedgey.finance/fantom/0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351/30.png,1650738032950,1,Common,670.0,68.92383826934235,0,Grey,10.985714285714286,Base_Pink,5.825757575757576,Regular_Pirate_Suit_Green_And_Grey,6.866071428571429,None,1.5535353535353538,None,2.24198250728863,Goatee,8.839080459770116,Regular_Hair,7.6899999999999995,Pirate_Hat_Luminous,7.254716981132076,None,6.516949152542373,None,6.572649572649572,Silver_Teeth,4.5773809523809526,1653350400
Pixel Pirates #32,32,https://nft.hedgey.finance/fantom/0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351/32.png,1650738059074,1,Common,89.0,102.41800486052844,0,Orange,9.987012987012987,Base_Pink,5.825757575757576,Regular_Pirate_Suit_Blue_And_Blue,7.12037037037037,None,1.5535353535353538,Eye_Patch,1.9922279792746114,Long_Beard_Ginger,9.6125,Regular_Hair,7.6899999999999995,Bandana_Hat_Dark_Blue,22.61764705882353,Treasure_Map,13.033898305084746,Corgi_Dog,13.491228070175438,Smoke_Pipe,9.493827160493828,1653350400
Pixel Pirates #34,34,https://nft.hedgey.finance/fantom/0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351/34.png,1650738060182,1,Common,759.0,63.999884870774665,0,Light_Red,10.680555555555555,Base_Blue,6.252032520325203,Regular_Pirate_Suit_Green_And_Grey,6.866071428571429,None,1.5535353535353538,Eye_Patch,1.9922279792746114,Long_Beard_Black,7.3238095238095235,Ginger_Hair,7.394230769230769,Pirate_Hat,7.186915887850468,None,6.516949152542373,None,6.572649572649572,Regular_Smile,1.6609071274298057,1653350400
Pixel Pirates #35,35,https://nft.hedgey.finance/fantom/0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351/35.png,1650738060344,1,Common,332.0,83.31801882541384,0,Orange,9.987012987012987,Base_Pink,5.825757575757576,None,6.252032520325203,None,1.5535353535353538,Eye_Patch,1.9922279792746114,Stubble_Black,8.268817204301076,Regular_Hair,7.6899999999999995,Pirate_Hat,7.186915887850468,Ale,16.020833333333332,Parrot,9.047058823529412,Smoke_Pipe,9.493827160493828,1653350400
Pixel Pirates #37,37,https://nft.hedgey.finance/fantom/0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351/37.png,1650738085903,1,Common,139.0,95.08447761220197,0,Light_Green,10.391891891891891,Base_Green,7.055045871559632,None,6.252032520325203,Bottle_Ship_Necklace_Silver,3.4330357142857144,Eye_Patch_Gold,21.36111111111111,Long_Beard_Ginger,9.6125,Blonde_Hair,5.825757575757576,Pirate_Hat_Orange,8.640449438202246,Sword,7.254716981132076,Parrot_Yellow,10.680555555555555,Silver_Teeth,4.5773809523809526,1653350400
Pixel Pirates #38,38,https://nft.hedgey.finance/fantom/0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351/38.png,1650738086368,1,Common,206.0,89.76347947191854,0,Light_Red,10.680555555555555,Base,5.654411764705882,Regular_Pirate_Suit,6.462184873949579,None,1.5535353535353538,Eye_Patch_Gold,21.36111111111111,Goatee,8.839080459770116,Blonde_Hair,5.825757575757576,Pirate_Hat_Orange,8.640449438202246,Sword,7.254716981132076,Octopus,11.830769230769231,Regular_Smile,1.6609071274298057,1653350400
Pixel Pirates #40,40,https://nft.hedgey.finance/fantom/0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351/40.png,1650738112398,1,Common,716.0,67.15044516355408,0,Orange,9.987012987012987,Base_Red,6.252032520325203,None,6.252032520325203,None,1.5535353535353538,None,2.24198250728863,Long_Beard_Johnny,7.254716981132076,White_Hair,6.408333333333332,Pirate_Hat_Pink,7.466019417475728,None,6.516949152542373,Monkey,8.640449438202246,Silver_Teeth,4.5773809523809526,1653350400
Pixel Pirates #41,41,https://nft.hedgey.finance/fantom/0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351/41.png,1650738138887,1,Common,439.0,77.85073840476555,0,Light_Red,10.680555555555555,Base_Green,7.055045871559632,Regular_Pirate_Suit,6.462184873949579,None,1.5535353535353538,None,2.24198250728863,Stubble_Black,8.268817204301076,Black_Hair,7.3238095238095235,None,5.026143790849673,Hand_Tattoo,16.020833333333332,Monkey,8.640449438202246,Silver_Teeth,4.5773809523809526,1653350400
Pixel Pirates #42,42,https://nft.hedgey.finance/fantom/0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351/42.png,1650738152190,1,Common,193.0,90.29495588897628,0,Light_Green,10.391891891891891,Base_Red,6.252032520325203,None,6.252032520325203,Bottle_Ship_Necklace_Silver,3.4330357142857144,Eye_Patch,1.9922279792746114,Long_Beard_Ginger,9.6125,White_Hair,6.408333333333332,Pirate_Hat_Orange,8.640449438202246,Treasure_Map,13.033898305084746,Penguin,22.61764705882353,Regular_Smile,1.6609071274298057,1653350400
