name,number,image,date,Batch,Type,Rank,Total Score,Bonus Score,Background,Background Score,Base,Base Score,Outfit,Outfit Score,Necklace,Necklace Score,Eye,Eye Score,Beard,Beard Score,Hair,Hair Score,Hat,Hat Score,Hand_Accessories,Hand_Accessories Score,Shoulder,Shoulder Score,Mouth,Mouth Score,Unlock_Date,address
Pixel Pirates #547,547,https://nft.hedgey.finance/fantom/0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351/547.png,1652997410907,3,Common,729.0,66.28623687997917,0,Light_Yellow,10.561643835616438,Base,5.669117647058823,Regular_Pirate_Suit,6.478991596638656,,1.5575757575757574,,2.2412790697674416,Long_Beard_Johnny,7.273584905660376,Regular_Hair,7.709999999999999,,5.03921568627451,Handgun,7.948453608247423,Parrot_Green,10.144736842105264,Regular_Smile,1.6616379310344829,1655683200,0x06F9e5F8F5c170B9EEce58676D932BcC398F52e5
Pixel Pirates #548,548,https://nft.hedgey.finance/fantom/0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351/548.png,1652997478026,3,Legendary,1.0,10475.931217652404,5000,Edwyn_Green,771.0,Base_Traveler,771.0,Edwyn_Green_Outfit,771.0,,1.5575757575757574,Edwyn_Blue,771.0,,6.58974358974359,,64.25,Edwyn_Red_Bandana,771.0,,6.533898305084746,Edwyn_Sword,771.0,Edwyn_Smile,771.0,1655683200,0x6ffbb6C376d0cf590289671D652Ae92213614828
Pixel Pirates #550,550,https://nft.hedgey.finance/fantom/0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351/550.png,1652998564143,3,Common,290.0,85.50282922454056,0,Orange,9.884615384615383,Base_Pink,5.840909090909091,Regular_Pirate_Suit_Purple_And_Orange,6.7043478260869565,,1.5575757575757574,,2.2412790697674416,Stubble_Black,8.290322580645162,Blonde_Hair,5.840909090909091,Bandana_Hat_Dark_Blue,22.676470588235293,Whisky_Bottle,12.238095238095235,Monkey,8.566666666666666,Regular_Smile,1.6616379310344829,1655683200,0x13c0CE1b341Cc4f0efadA8093f6081AFF0Bfeb80
Pixel Pirates #552,552,https://nft.hedgey.finance/fantom/0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351/552.png,1652999502205,3,Common,622.0,70.82736274669504,0,Orange,9.884615384615383,Base_Blue,6.2682926829268295,Regular_Pirate_Suit_Red_And_Luminous_,6.7043478260869565,,1.5575757575757574,Eye_Patch,1.992248062015504,,6.58974358974359,Regular_Hair,7.709999999999999,Pirate_Hat_Pink,7.485436893203883,Sword,7.205607476635514,Corgi_Dog_Red_No_Tail,13.767857142857142,Regular_Smile,1.6616379310344829,1655683200,0xFF332CcffBeA2F3b45C933063e308fe0FeAFA95d
Pixel Pirates #555,555,https://nft.hedgey.finance/fantom/0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351/555.png,1653675481630,4,Common,170.0,92.19578303257114,0,Grey,10.859154929577464,Base_Green,7.0733944954128445,Regular_Pirate_Suit,6.478991596638656,,1.5575757575757574,Eye_Patch,1.992248062015504,Stubble,9.402439024390244,Sparrow_Hair,8.965116279069766,Pirate_Hat_Luminous,7.205607476635514,Hook_Hand_Gold,23.363636363636363,Parrot_Yellow,10.708333333333334,Silver_Teeth,4.589285714285714,1656374400,0x1467E4395F401e72877A46EdEd3DE6bFD714C572
Pixel Pirates #556,556,https://nft.hedgey.finance/fantom/0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351/556.png,1653675495516,4,Common,582.0,72.20611166779723,0,Light_Luminous_,8.965116279069766,Base,5.669117647058823,Regular_Pirate_Suit_Purple_And_Orange,6.7043478260869565,Bottle_Ship_Necklace_Silver,3.411504424778761,Eye_Patch,1.992248062015504,Long_Beard_Black,7.342857142857143,Sparrow_Hair,8.965116279069766,Pirate_Hat_Purple,8.290322580645162,Sword,7.205607476635514,Parrot,9.070588235294116,Silver_Teeth,4.589285714285714,1656374400,0x3F01FA6e75f9d0477108F994400280b71915Bf56
Pixel Pirates #558,558,https://nft.hedgey.finance/fantom/0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351/558.png,1653675508980,4,Common,364.0,82.06702553364161,0,Light_Green,10.418918918918918,Base_Blue,6.2682926829268295,Regular_Pirate_Suit_Blue_And_Blue,7.138888888888888,,1.5575757575757574,Eye_Patch,1.992248062015504,Long_Beard_Ginger,9.51851851851852,Regular_Hair,7.709999999999999,Pirate_Hat,7.205607476635514,,6.533898305084746,,6.58974358974359,Gold_Teeth,17.133333333333333,1656374400,0x1467E4395F401e72877A46EdEd3DE6bFD714C572
Pixel Pirates #559,559,https://nft.hedgey.finance/fantom/0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351/559.png,1653675522312,4,Common,45.0,123.96733097957842,0,Plue,10.561643835616438,Base_Pink,5.840909090909091,,6.2682926829268295,Bottle_Ship_Necklace_Gold,15.734693877551022,Eye_Patch_Gold,21.416666666666668,Stubble,9.402439024390244,White_Hair,6.425,Pirate_Hat_Purple,8.290322580645162,Handgun,7.948453608247423,Penguin,22.676470588235293,Smoke_Pipe,9.402439024390244,1656374400,0xd142aB6D8E7B3C7b2EfbDa250158cFA2b8680d63
Pixel Pirates #560,560,https://nft.hedgey.finance/fantom/0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351/560.png,1653675522854,4,Common,634.0,70.37575095455834,0,Light_Yellow,10.561643835616438,Base_Blue,6.2682926829268295,Regular_Pirate_Suit_Green_And_Grey,6.823008849557522,,1.5575757575757574,,2.2412790697674416,Long_Beard_Johnny,7.273584905660376,Blonde_Hair,5.840909090909091,,5.03921568627451,Hook_Hand,6.7043478260869565,Corgi_Dog_Tri_Colour_No_Tail,16.404255319148938,Regular_Smile,1.6616379310344829,1656374400,0x1467E4395F401e72877A46EdEd3DE6bFD714C572
Pixel Pirates #561,561,https://nft.hedgey.finance/fantom/0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351/561.png,1653675535665,4,Common,614.0,70.97738994825333,0,Light_Blue,9.6375,Base_Pink,5.840909090909091,Regular_Pirate_Suit_Purple_And_Orange,6.7043478260869565,Bottle_Ship_Necklace_Silver,3.411504424778761,Eye_Patch,1.992248062015504,,6.58974358974359,Blonde_Hair,5.840909090909091,Pirate_Hat_Orange,8.566666666666666,Sword,7.205607476635514,Corgi_Dog,13.526315789473683,Regular_Smile,1.6616379310344829,1656374400,0x1467E4395F401e72877A46EdEd3DE6bFD714C572
