name,number,image,date,Batch,Type,Rank,Total Score,Background,Background Score,Skin,Skin Score,Body,Body Score,Eyes,Eyes Score,Weapon,Weapon Score,Necklace,Necklace Score,Eye Patch,Eye Patch Score,Hair,Hair Score,Hat,Hat Score,Mouth,Mouth Score,Pet,Pet Score,Unlock_Date,address
Pirate Life #676,676,https://nft.hedgey.finance/fantom/0xb75b8dac018f36cdc1e16042bb598c99885ecbf9/676.png,1664654453811,3,Common,59.0,235.6568340083053,Kraken_Sighting,50.0,Concrete,17.708333333333332,Neked,3.695652173913044,Wink_Orange,14.655172413793103,Sword_Left,11.805555555555555,None,1.7102615694164989,Eye_Patch_Left,2.75974025974026,Mid_Hair_Stubble_Pink,106.25,None,1.847826086956522,Open_Mouth,6.746031746031747,Parrot_Green,18.47826086956522,1667330433,0x1467E4395F401e72877A46EdEd3DE6bFD714C572
Pirate Life #677,677,https://nft.hedgey.finance/fantom/0xb75b8dac018f36cdc1e16042bb598c99885ecbf9/677.png,1664654454166,3,Common,613.0,132.54598144218576,Abe_Cyan,17.346938775510203,Almond,6.746031746031747,Shirt_Green,17.346938775510203,Bulging_Eyes_Green,12.87878787878788,None,1.6865079365079367,None,1.7102615694164989,Eye_Patch_Left,2.75974025974026,Mid_Hair_Stubble_Ginger,47.22222222222222,Pirate_Hat_Blue,15.454545454545451,Open_Mouth,6.746031746031747,None,2.64797507788162,1667330433,0xd0fb5B26b4CA91e05Db9FF3c6ac7C365dBBc8C71
Pirate Life #678,678,https://nft.hedgey.finance/fantom/0xb75b8dac018f36cdc1e16042bb598c99885ecbf9/678.png,1664654467368,3,Common,761.0,116.79677838571976,Abe_Purple,20.731707317073173,Almond,6.746031746031747,Neked,3.695652173913044,Eyes_Blue,17.708333333333332,None,1.6865079365079367,Skull_Silver,9.444444444444445,Eye_Patch_Left,2.75974025974026,Short_Hair_Stubble_White,26.562500000000004,None,1.847826086956522,Cheeky,8.947368421052632,Octopus_Pink,16.666666666666668,1667330433,0xD3d20F2D89922311F87Cd954691102f475833770
Pirate Life #679,679,https://nft.hedgey.finance/fantom/0xb75b8dac018f36cdc1e16042bb598c99885ecbf9/679.png,1664654467571,3,Common,397.0,155.73884323206343,Pink,20.731707317073173,Honey,8.018867924528301,Shirt_LQDR,15.454545454545451,Wink_Green,17.0,None,1.6865079365079367,None,1.7102615694164989,Eye_Patch_Left,2.75974025974026,Long_Hair_Grey,32.69230769230769,Pirate_Hat_Green,27.41935483870968,Cheeky,8.947368421052632,Monkey_x,19.318181818181817,1667330433,0xD3d20F2D89922311F87Cd954691102f475833770
Pirate Life #680,680,https://nft.hedgey.finance/fantom/0xb75b8dac018f36cdc1e16042bb598c99885ecbf9/680.png,1664654467773,3,Common,209.0,182.99679182802163,Indigo,15.740740740740742,Honey,8.018867924528301,Shirt_Green,17.346938775510203,Angry_Eyes_Blue,13.492063492063494,None,1.6865079365079367,Teeth_Gold,29.310344827586206,Eye_Patch_Dual,36.95652173913044,Mid_Hair_Goatee_Grey,29.310344827586206,Bandana_Purple,17.0,Open_Mouth_Gold,11.486486486486488,None,2.64797507788162,1667330433,0xD3d20F2D89922311F87Cd954691102f475833770
Pirate Life #681,681,https://nft.hedgey.finance/fantom/0xb75b8dac018f36cdc1e16042bb598c99885ecbf9/681.png,1664654467958,3,Common,498.0,143.9428279161133,Shadow,15.178571428571429,Goblin,25.0,Tattoo,17.0,Eyes_Blue,17.708333333333332,None,1.6865079365079367,None,1.7102615694164989,Eye_Patch_Left,2.75974025974026,Mid_Hair_Goatee_Brown,35.416666666666664,None,1.847826086956522,Open_Mouth,6.746031746031747,Parrot_Purple,18.88888888888889,1667330433,0xA04970c922ceA95a6a23DA3F1Ce36060c3e1D867
Pirate Life #682,682,https://nft.hedgey.finance/fantom/0xb75b8dac018f36cdc1e16042bb598c99885ecbf9/682.png,1664654547170,3,Common,428.0,150.50553274676798,Green,28.33333333333333,Porcelain,6.115107913669064,Shirt_Red,14.655172413793103,Eyes_Green,13.934426229508198,None,1.6865079365079367,None,1.7102615694164989,Eye_Patch_Right,2.599388379204893,Mid_Hair_Blonde,34.0,Pirate_Hat_Red,19.318181818181817,Open_Mouth_Gold,11.486486486486488,Octopus,16.666666666666668,1667330433,0xf8a11B6792878aC820aBFC0c26Ba585E9b3745e3
Pirate Life #683,683,https://nft.hedgey.finance/fantom/0xb75b8dac018f36cdc1e16042bb598c99885ecbf9/683.png,1664654573296,3,Common,825.0,105.08278028272814,Pink,20.731707317073173,Porcelain,6.115107913669064,Shirt_Pink_Grey,14.912280701754383,Angry_Eyes_Green,11.18421052631579,None,1.6865079365079367,None,1.7102615694164989,None,4.427083333333333,Short_Hair_Goatee_White,28.33333333333333,None,1.847826086956522,Open_Mouth_Gold,11.486486486486488,None,2.64797507788162,1667330433,0x06F9e5F8F5c170B9EEce58676D932BcC398F52e5
Pirate Life #684,684,https://nft.hedgey.finance/fantom/0xb75b8dac018f36cdc1e16042bb598c99885ecbf9/684.png,1664654626910,3,Common,148.0,199.46526048149428,Chilean_Fire,19.318181818181817,Porcelain,6.115107913669064,Shirt_Yellow_Black,18.08510638297872,Bulging_Eyes_Shadow,70.83333333333333,None,1.6865079365079367,Teeth,9.34065934065934,Eye_Patch_Right,2.599388379204893,Mid_Hair_Goatee_Blonde,27.41935483870968,Bandana_Red,19.76744186046512,Regular_Mouth,5.821917808219179,Parrot_Green,18.47826086956522,1667330433,0x06F9e5F8F5c170B9EEce58676D932BcC398F52e5
Pirate Life #685,685,https://nft.hedgey.finance/fantom/0xb75b8dac018f36cdc1e16042bb598c99885ecbf9/685.png,1664654693337,3,Common,447.0,148.82412673186434,Shadow,15.178571428571429,Golden,7.264957264957266,Tattoo,17.0,Eyes_Green,13.934426229508198,None,1.6865079365079367,None,1.7102615694164989,Eye_Patch_Right,2.599388379204893,Mid_Hair_Stubble_Blonde,40.47619047619048,Pirate_Hat_Orange,24.285714285714285,Cheeky,8.947368421052632,Parrot_Blue,15.740740740740742,1667330433,0x6ffbb6C376d0cf590289671D652Ae92213614828
