name,number,image,date,Batch,Type,Rank,Total Score,Background,Background Score,Skin,Skin Score,Body,Body Score,Eyes,Eyes Score,Weapon,Weapon Score,Necklace,Necklace Score,Eye Patch,Eye Patch Score,Hair,Hair Score,Hat,Hat Score,Mouth,Mouth Score,Pet,Pet Score,Unlock_Date
Pirate Life #1030,1030,https://nft.hedgey.finance/fantom/0xb75b8dac018f36cdc1e16042bb598c99885ecbf9/1030.png,1669568980485,4,Common,1108.0,112.96025504381204,Abe_Purple,20.842105263157897,Porcelain,5.823529411764706,Tattoo,17.217391304347828,Eyes_Green,14.142857142857144,None,1.6545961002785516,Skull_Silver,9.504,Eye_Patch_Right,2.54389721627409,Mid_Hair_Goatee_Grey,29.7,None,1.8977635782747604,Open_Mouth,6.988235294117648,None,2.645879732739421,2
Pirate Life #1031,1031,https://nft.hedgey.finance/fantom/0xb75b8dac018f36cdc1e16042bb598c99885ecbf9/1031.png,1669568980595,4,Common,786.0,138.93475551285934,Chilean_Fire,19.8,Porcelain,5.823529411764706,Shirt_Green_Grey,13.2,Bulging_Eyes_Blue,14.313253012048193,None,1.6545961002785516,None,1.7142857142857142,Eye_Patch_Left,2.8218527315914486,Mid_Hair_Stubble_Brown,32.108108108108105,Pirate_Hat_Green,23.759999999999998,Regular_Mouth,5.739130434782608,Monkey_x,18.0,2
Pirate Life #1032,1032,https://nft.hedgey.finance/fantom/0xb75b8dac018f36cdc1e16042bb598c99885ecbf9/1032.png,1669568980718,4,Common,906.0,130.31039400178932,Purple,26.4,Honey,7.714285714285714,Shirt_Red_Pink,15.428571428571429,Angry_Eyes_Green,12.122448979591837,Gun_Left,13.5,None,1.7142857142857142,Eye_Patch_Left,2.8218527315914486,Mid_Hair_Beard_Johnny,33.94285714285714,None,1.8977635782747604,Open_Mouth_Gold,12.122448979591837,None,2.645879732739421,2
Pirate Life #1033,1033,https://nft.hedgey.finance/fantom/0xb75b8dac018f36cdc1e16042bb598c99885ecbf9/1033.png,1669568980818,4,Common,381.0,172.3630183763749,Abe_Purple,20.842105263157897,Porcelain,5.823529411764706,Shirt_Blue,13.813953488372093,Angry_Eyes_Red,62.526315789473685,None,1.6545961002785516,None,1.7142857142857142,None,4.432835820895522,Short_Hair_Goatee_White,32.108108108108105,None,1.8977635782747604,Blunt,9.818181818181818,Parrot_Purple,17.73134328358209,2
Pirate Life #1034,1034,https://nft.hedgey.finance/fantom/0xb75b8dac018f36cdc1e16042bb598c99885ecbf9/1034.png,1669568980912,4,Common,547.0,154.7806008887427,Stormy_Seas,51.652173913043484,Sand,7.288343558282208,Shirt_Blue_Grey,15.84,Bulging_Eyes_Blue,14.313253012048193,None,1.6545961002785516,None,1.7142857142857142,Eye_Patch_Right,2.54389721627409,Long_Hair_Beard_Grey,29.7,Pirate_Hat_Red,18.5625,Teeth_Silver,8.865671641791044,None,2.645879732739421,2
Pirate Life #1035,1035,https://nft.hedgey.finance/fantom/0xb75b8dac018f36cdc1e16042bb598c99885ecbf9/1035.png,1669568981007,4,Common,453.0,164.37725577900048,Chilean_Fire,19.8,Porcelain,5.823529411764706,Shirt_Yellow_Black,16.5,Wink_Orange,13.655172413793103,Gun_Left,13.5,Teeth_Gold,30.46153846153846,Eye_Patch_Right,2.54389721627409,Short_Hair_White,32.108108108108105,Bandana_Green,21.6,Regular_Mouth,5.739130434782608,None,2.645879732739421,2
Pirate Life #1036,1036,https://nft.hedgey.finance/fantom/0xb75b8dac018f36cdc1e16042bb598c99885ecbf9/1036.png,1669568981099,4,Common,626.0,149.89444880779905,Green,22.846153846153847,Sand,7.288343558282208,Shirt_Shadow,17.217391304347828,Eyes_Blue,18.857142857142858,None,1.6545961002785516,None,1.7142857142857142,Eye_Patch_Left,2.8218527315914486,Long_Hair_Grey,31.263157894736842,Pirate_Hat_Green,23.759999999999998,Regular_Mouth,5.739130434782608,Monkey_Ginger,16.732394366197184,2
Pirate Life #1037,1037,https://nft.hedgey.finance/fantom/0xb75b8dac018f36cdc1e16042bb598c99885ecbf9/1037.png,1669568981194,4,Common,611.0,150.5151932603849,Mint,20.135593220338983,Golden,7.615384615384615,Shirt_Green,16.273972602739725,Wink_Green,14.666666666666668,None,1.6545961002785516,None,1.7142857142857142,Eye_Patch_Right,2.54389721627409,Long_Hair_Goatee_Grey,42.42857142857143,Pirate_Hat_Red,18.5625,Teeth_Silver,8.865671641791044,Parrot_Red,16.054054054054053,2
Pirate Life #1038,1038,https://nft.hedgey.finance/fantom/0xb75b8dac018f36cdc1e16042bb598c99885ecbf9/1038.png,1669568981295,4,Common,92.0,236.11547564939139,Deep_Violet,18.0,Espresso,6.711864406779662,Shirt_Yellow_Black,16.5,Bulging_Eyes_Green,13.976470588235296,Gun_Right_Sword_Left_Dual,62.526315789473685,Teeth_Skull_Silver,22.41509433962264,Eye_Patch_Right,2.54389721627409,Long_Hair_Stubble_Grey,45.69230769230769,Bandana_Green,21.6,Open_Mouth,6.988235294117648,Octopus,19.161290322580644,2
Pirate Life #1039,1039,https://nft.hedgey.finance/fantom/0xb75b8dac018f36cdc1e16042bb598c99885ecbf9/1039.png,1669568981395,4,Common,298.0,182.99477867918435,Green,22.846153846153847,Concrete,18.5625,Shirt_Blue,13.813953488372093,Angry_Eyes_Shadow,74.25,None,1.6545961002785516,None,1.7142857142857142,None,4.432835820895522,Mid_Hair_Blonde,32.108108108108105,None,1.8977635782747604,Cheeky,9.068702290076336,None,2.645879732739421,2
